#ExampleTrace - 2024-06-12T03:00:38.8651545Z
Time,startButton,stopButton,homeSignal,workSignal
2024-06-12T03:00:39.7856341Z,True,True,True,False
2024-06-12T03:00:40.4358857Z,True,True,True,False
2024-06-12T03:00:41.3530472Z,True,True,True,False
2024-06-12T03:00:42.5009813Z,True,True,True,False
2024-06-12T03:00:45.0528967Z,False,True,True,False
2024-06-12T03:00:45.3531223Z,False,True,True,False
2024-06-12T03:00:46.5107501Z,False,True,True,False
2024-06-12T03:00:48.3269526Z,False,False,True,False
2024-06-12T03:00:49.4068096Z,False,False,True,False
2024-06-12T03:00:51.4649280Z,True,False,False,True
2024-06-12T03:00:52.6628936Z,True,False,False,True
2024-06-12T03:00:53.5059499Z,True,False,False,True
2024-06-12T03:00:55.1618957Z,True,True,True,False
2024-06-12T03:00:55.4138226Z,True,True,True,False
2024-06-12T03:00:56.3691654Z,True,True,True,False
2024-06-12T03:00:57.3829424Z,True,True,True,False
2024-06-12T03:00:58.6400483Z,True,True,True,False
2024-06-12T03:00:59.5539877Z,True,True,True,False
2024-06-12T03:01:00.4780002Z,True,True,True,False
2024-06-12T03:01:01.4270560Z,True,True,True,False
2024-06-12T03:01:02.5591432Z,True,True,True,False
2024-06-12T03:01:03.4550904Z,True,True,True,False
2024-06-12T03:01:04.4668351Z,True,True,True,False
2024-06-12T03:01:05.5231961Z,True,True,True,False
2024-06-12T03:01:06.5691808Z,True,True,True,False
2024-06-12T03:01:07.3468823Z,True,True,True,False
2024-06-12T03:01:09.1277855Z,False,True,True,False
